"UNIDADE";"SETOR";"CÓDIGO DA FUNÇÃO";"FUNÇÃO";"NÍVEL";"QUANTIDADE";"SEM_NOME";"SEM_NOME"
"CR";"1VTRES";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTRES";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTRES";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"1"
"CR";"1VTRES";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"1"
"CR";"1VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"1VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTSG";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTSG";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTSG";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTSG";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTSG";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTSG";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"1VTSJM";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"1"
"CR";"1VTSJM";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTSJM";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTSJM";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTSJM";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTSJM";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTTE";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"1"
"CR";"1VTTE";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTTE";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTTE";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTTE";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTTE";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTTR";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTTR";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTTR";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"1"
